reference_number;entry_date;amount;debit_account_code;credit_account_code;debit_account_name_src;credit_account_name_src;txn_description;classification_code;work_item_code;expenses_code;transaction_classification name;work_items  descrip;expenses_categories description
41-08;30/08/2023;66122.35;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 15;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
41-09;30/08/2023;243903.5563;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 15;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
41-10;30/08/2023;1869425.657;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 15;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
42-01;30/08/2023;1952111.934;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 15;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
42-01;30/08/2023;1875573.5;;1210;;ذمم تجارية - العملاء;مستخلص رقم 15;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
43-01;30/09/2023;2218568.173;4110;1340;إيرادات العقود الإنشائية الأساسية;مواد لدى مواقع العملاء (تشوينات);مستخلص رقم 16;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
43-01;30/09/2023;9507.617078;;5100;;تكاليف تنفيذ مباشرة;مستخلص رقم 16;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
44-01;30/09/2023;12721.45481;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 16;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
44-02;30/09/2023;38164.36632;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 16;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
44-03;30/09/2023;18755.735;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 16;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
44-04;30/09/2023;17862.96201;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 16;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
44-05;30/09/2023;93778.675;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 16;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
44-06;30/09/2023;4688.93375;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 16;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
44-07;30/09/2023;89277.2986;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 16;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
44-08;30/09/2023;221856.8173;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 16;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
45-01;30/09/2023;1600312.676;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 16;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
45-02;30/09/2023;111641.637;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 16;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
46-01;30/10/2023;1130176.763;1340;1210;مواد لدى مواقع العملاء (تشوينات);ذمم تجارية - العملاء;مستخلص رقم 17;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
46-02;30/10/2023;1795511.738;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 17;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
47-01;30/10/2023;7694.619562;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 17;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
47-02;30/10/2023;10295.61395;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 17;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
47-03;30/10/2023;30886.84338;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 17;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
47-04;30/10/2023;29256.885;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 17;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
47-05;30/10/2023;27864.25727;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 17;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
47-06;30/10/2023;146284.425;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 17;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
47-07;30/10/2023;7314.22125;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 17;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
47-08;30/10/2023;139262.7726;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 17;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
47-09;30/10/2023;179551.1738;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 17;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
48-01;30/10/2023;1042952.243;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 17;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
48-02;30/10/2023;174148.6823;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 17;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
49-01;30/12/2023;2620206.8;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 19;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
49-02;30/12/2023;1031739.06;4110;1340;إيرادات العقود الإنشائية الأساسية;مواد لدى مواقع العملاء (تشوينات);مستخلص رقم 19;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
50-01;30/12/2023;15650.32044;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 19;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
50-02;30/12/2023;20940.56193;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 19;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
50-03;30/12/2023;62821.68892;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 19;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
50-04;30/12/2023;26202.068;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 19;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
50-05;30/12/2023;24954.84956;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 19;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
50-06;30/12/2023;131009.34;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 19;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
50-07;30/12/2023;6550.517;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 19;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
50-08;30/12/2023;124721.8437;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 19;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
50-09;30/12/2023;365194.586;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 19;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
51-01;30/12/2023;2666347.942;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 19;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
51-02;30/12/2023;207552.1426;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 19;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
52-01;30/01/2024;891909;1340;1210;مواد لدى مواقع العملاء (تشوينات);ذمم تجارية - العملاء;مستخلص رقم 20;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
52-02;30/01/2024;2579132.5;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 20;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
53-01;30/01/2024;11052.80627;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 20;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
53-02;30/01/2024;14788.96071;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 20;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
53-03;30/01/2024;44366.88434;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 20;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
53-04;30/01/2024;34710.415;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 20;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
53-05;30/01/2024;33058.19925;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 20;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
53-06;30/01/2024;173552.075;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 20;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
53-07;30/01/2024;8677.60375;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 20;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
53-08;30/01/2024;165221.5754;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 20;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
53-09;30/01/2024;257913.25;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 20;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
54-01;30/01/2024;1673775.906;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 20;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
54-02;30/01/2024;162014.8242;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 20;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
55-01;28/02/2024;60852;1340;1210;مواد لدى مواقع العملاء (تشوينات);ذمم تجارية - العملاء;مستخلص رقم 21;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
55-02;28/02/2024;2087888.5;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 21;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
56-01;28/02/2024;8947.592689;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 21;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
56-02;28/02/2024;12055.64221;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 21;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
56-03;28/02/2024;36083.41288;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 21;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
56-04;28/02/2024;21487.405;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 21;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
56-05;28/02/2024;36;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 21;8;1;104;قيد سداد الايراد;مصاريف ادارية;تنميه موارد
56-06;28/02/2024;20464.60452;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 21;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
56-07;28/02/2024;107437.025;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 21;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
56-08;28/02/2024;5371.85125;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 21;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
56-09;28/02/2024;102280.0478;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 21;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
56-10;28/02/2024;208788.85;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 21;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
57-01;28/02/2024;1437034.07;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 21;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
57-02;28/02/2024;127902;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 21;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
58-01;30/03/2024;336832.5;1340;1210;مواد لدى مواقع العملاء (تشوينات);ذمم تجارية - العملاء;مستخلص رقم 22;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
58-02;30/03/2024;3336994.5;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 22;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
59-01;30/03/2024;14300.60446;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 22;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
59-02;30/03/2024;19134.60458;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 22;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
59-03;30/03/2024;57403.8166;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 22;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
59-04;30/03/2024;36738.27;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 22;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
59-05;30/03/2024;34989.52835;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 22;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
59-06;30/03/2024;183691.35;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 22;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
59-07;30/03/2024;9184.5675;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 22;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
59-08;30/03/2024;174874.1652;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 22;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
59-09;30/03/2024;333699.45;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 22;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
60-01;30/03/2024;2252557.14;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 22;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
60-02;30/03/2024;220421;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 22;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
61-01;30/01/2024;17309569.79;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;تعويضات 1;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
62-01;30/01/2024;74179.71797;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 1;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
62-02;30/01/2024;99046.801;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 1;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
62-03;30/01/2024;297024.4436;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 1;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
62-04;30/01/2024;173095.6979;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 1;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
62-05;30/01/2024;36;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 1;8;1;104;قيد سداد الايراد;مصاريف ادارية;تنميه موارد
62-06;30/01/2024;164852.8808;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;تعويضات 1;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
62-07;30/01/2024;1061346;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;تعويضات 1;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
62-08;30/01/2024;824281.7133;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;تعويضات 1;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
62-09;30/01/2024;1730956.979;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;تعويضات 1;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
63-01;30/01/2024;11854418.91;1210;1120;ذمم تجارية - العملاء;البنوك;تعويضات 1;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
63-02;30/01/2024;1030331;1210;1120;ذمم تجارية - العملاء;البنوك;تعويضات 1;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
64-01;30/04/2024;789479.44;4110;1340;إيرادات العقود الإنشائية الأساسية;مواد لدى مواقع العملاء (تشوينات);مستخلص رقم 23;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
65-01;30/04/2024;3383.293919;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 23;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
65-02;30/04/2024;4526.940908;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 23;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
65-03;30/04/2024;13580.8234;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 23;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
65-04;30/04/2024;78947.944;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 23;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
66-01;30/04/2024;681145.43;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 23;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
66-02;30/04/2024;7895;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 23;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
67-01;30/05/2024;975914;1340;1210;مواد لدى مواقع العملاء (تشوينات);ذمم تجارية - العملاء;مستخلص رقم 24;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
67-02;30/05/2024;2924378.9;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 24;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
68-01;30/05/2024;12532.35087;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 24;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
68-02;30/05/2024;16768.63234;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 24;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
68-03;30/05/2024;50305.89953;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 24;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
68-04;30/05/2024;39002.929;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 24;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
68-05;30/05/2024;37146.38958;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 24;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
68-06;30/05/2024;195014.645;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 24;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
68-07;30/05/2024;9750.73225;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 24;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
68-08;30/05/2024;185653.942;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 24;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
68-09;30/05/2024;292437.89;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 24;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
69-01;30/05/2024;1853604.455;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 24;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
69-02;30/05/2024;232161.0346;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 24;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
70-01;30/07/2024;3096034.45;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 26;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
70-02;30/07/2024;1994020.898;4110;1340;إيرادات العقود الإنشائية الأساسية;مواد لدى مواقع العملاء (تشوينات);مستخلص رقم 26;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
71-01;30/07/2024;21832.92534;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 26;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
71-02;30/07/2024;29186.80159;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 26;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
71-03;30/07/2024;87560.40913;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 26;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
71-04;30/07/2024;30960.3445;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 26;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
71-05;30/07/2024;29486.6321;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 26;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
71-06;30/07/2024;154801.7225;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 26;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
71-07;30/07/2024;7740.086125;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 26;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
71-08;30/07/2024;147371.2398;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 26;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
71-09;30/07/2024;509005.5347;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 26;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
72-01;30/07/2024;3887821.66;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 26;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
72-02;30/07/2024;184288;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 26;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
73-01;30/06/2024;4739253;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;تعويضات 2;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
74-01;30/06/2024;20309.9;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 2;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
74-02;30/06/2024;27118;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 2;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
74-03;30/06/2024;81323;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 2;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
74-04;30/06/2024;47392.53;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 2;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
74-05;30/06/2024;36;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;تعويضات 2;8;1;104;قيد سداد الايراد;مصاريف ادارية;تنميه موارد
74-06;30/06/2024;45136;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;تعويضات 2;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
74-07;30/06/2024;236962.66;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;تعويضات 2;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
74-08;30/06/2024;225683.23;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;تعويضات 2;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
75-01;30/06/2024;3773193;1210;1120;ذمم تجارية - العملاء;البنوك;تعويضات 2;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
75-02;30/06/2024;282098;1210;1120;ذمم تجارية - العملاء;البنوك;تعويضات 2;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
