reference_number,transaction_date,description,total_debit,total_credit,org_id
433,2024-08-29,عهده موقع,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
434,2022-10-26,الي ح/ النقديه (ثمن 30 شكاره بسكوت  ( مخزن) بتاريخ 15/10),1050.00,1050.00,d5789445-11e3-4ad6-9297-b56521675114
434,2024-08-29,عهده موقع,34000.00,34000.00,d5789445-11e3-4ad6-9297-b56521675114
435,2024-08-30,عهده موقع,42000.00,42000.00,d5789445-11e3-4ad6-9297-b56521675114
436,2022-10-26,الي ح/ النقديه (ايجار هيلتي تزريع اشاير اعمده اول 38 ),150.00,150.00,d5789445-11e3-4ad6-9297-b56521675114
436,2024-09-01,عهده موقع,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
437,2024-09-03,تحويل للحمد ستيل للحديد ( الريناد),1200000.00,1200000.00,d5789445-11e3-4ad6-9297-b56521675114
438,2022-10-26,الي ح/ النقديه ( دفعه من حساب محمود العامل),400.00,400.00,d5789445-11e3-4ad6-9297-b56521675114
438,2024-09-03,عهده موقع,51000.00,51000.00,d5789445-11e3-4ad6-9297-b56521675114
439,2024-09-04,تحويل للحمد ستيل للحديد ( الريناد),300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
440,2022-10-26,الي ح/ النقديه (سلفه  م. احمد توفيق من راتب شهر 11),2000.00,2000.00,d5789445-11e3-4ad6-9297-b56521675114
440,2024-09-05,عهده موقع,405000.00,405000.00,d5789445-11e3-4ad6-9297-b56521675114
441,2024-09-09,تحويل لهيمكس ,175000.00,175000.00,d5789445-11e3-4ad6-9297-b56521675114
442,2022-10-26,الي ح/ النقديه (سلفه  م. احمد توفيق من راتب شهر 11),600.00,600.00,d5789445-11e3-4ad6-9297-b56521675114
442,2024-09-09,تحويل للحمد ستيل للحديد ( الريناد),350000.00,350000.00,d5789445-11e3-4ad6-9297-b56521675114
443,2024-09-09,عهده موقع,541000.00,541000.00,d5789445-11e3-4ad6-9297-b56521675114
444,2022-10-26,الي ح/ النقديه (مسمار دق ),35.00,35.00,d5789445-11e3-4ad6-9297-b56521675114
444,2024-09-09,تحويل لهيمكس ,150000.00,150000.00,d5789445-11e3-4ad6-9297-b56521675114
445,2024-09-12,عهده موقع,555000.00,555000.00,d5789445-11e3-4ad6-9297-b56521675114
446,2022-10-26,الي ح/ النقديه(قاروره ماء للكرافان),40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
446,2024-09-19,عهده موقع,382000.00,382000.00,d5789445-11e3-4ad6-9297-b56521675114
447,2024-09-23,عهده موقع,120000.00,120000.00,d5789445-11e3-4ad6-9297-b56521675114
448,2022-10-26,من حساب سياره موقع امير 2,1000.00,1000.00,d5789445-11e3-4ad6-9297-b56521675114
448,2024-09-25,تحويل لهيمكس ,180000.00,180000.00,d5789445-11e3-4ad6-9297-b56521675114
449,2024-09-26,تحويل للحمد ستيل للحديد ( الريناد),300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
450,2022-10-30,دفعه من حساب محمود العامل,1000.00,1000.00,d5789445-11e3-4ad6-9297-b56521675114
450,2024-09-26,عهده موقع,413000.00,413000.00,d5789445-11e3-4ad6-9297-b56521675114
451,2024-10-06,عهده موقع,93000.00,93000.00,d5789445-11e3-4ad6-9297-b56521675114
452,2022-10-30,سكر + شاي ,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
452,2024-10-10,عهده موقع,580000.00,580000.00,d5789445-11e3-4ad6-9297-b56521675114
453,2024-11-07,عهده موقع,4869700.00,4869700.00,d5789445-11e3-4ad6-9297-b56521675114
454,2022-10-30,سهره استشاري صب سقف ثاني 43,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
455,2024-11-15,عهده موقع,195000.00,195000.00,d5789445-11e3-4ad6-9297-b56521675114
456,2022-10-30,سهره استشاري صب سقف اول 26,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
456,2024-11-15,عهده موقع,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
457,2024-11-17,تحويل للاستاذ محمد مرعي ,2000.00,2000.00,d5789445-11e3-4ad6-9297-b56521675114
458,2022-10-30,اكراميه بمب صب اعمده ارضي 44,50.00,0.00,d5789445-11e3-4ad6-9297-b56521675114
458,2022-11-19,تحويل لهيمكس ,400000.00,400000.00,d5789445-11e3-4ad6-9297-b56521675114
459,2024-11-22,دفعه من ح (شركه الشروق للصلب ),400000.00,400000.00,d5789445-11e3-4ad6-9297-b56521675114
460,2022-10-30,اكراميه بمب صب سقف ارضي 26 وسقف ثاني 43,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
460,2024-11-23,عهده موقع,250000.00,250000.00,d5789445-11e3-4ad6-9297-b56521675114
461,2024-11-24,عهده موقع,350000.00,350000.00,d5789445-11e3-4ad6-9297-b56521675114
462,2022-10-30,اكراميه بمب صب سقف ارضي 26 وسقف ثاني 44,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
462,2024-11-26,عهده موقع,480000.00,480000.00,d5789445-11e3-4ad6-9297-b56521675114
463,2024-11-28,عهده موقع,80000.00,80000.00,d5789445-11e3-4ad6-9297-b56521675114
464,2022-10-30,بنزين للمولد,150.00,150.00,d5789445-11e3-4ad6-9297-b56521675114
464,2022-11-29,دفعه من ح ( شركه الكومي للصلب),2190400.00,2190400.00,d5789445-11e3-4ad6-9297-b56521675114
465,2024-11-30,دفعه من ح ( شركه تبارك للخرسانه),42500.00,42500.00,d5789445-11e3-4ad6-9297-b56521675114
466,2022-10-30,من حساب سياره الموقع امير 2,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
466,2024-12-01,عهده موقع,65000.00,65000.00,d5789445-11e3-4ad6-9297-b56521675114
467,2024-12-03,عهده موقع,30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
468,2022-10-30,اكراميه بمب صب اعمده ارضي 44,0.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
468,2022-10-31,اكراميه سواق احضار خراطيم الكهرباء 4 مرات,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
468,2024-12-04,عهده موقع,190000.00,190000.00,d5789445-11e3-4ad6-9297-b56521675114
469,2024-12-07,عهده موقع,65000.00,65000.00,d5789445-11e3-4ad6-9297-b56521675114
470,2022-10-31,من حساب سياره امير 1,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
470,2024-12-08,عهده موقع,70000.00,70000.00,d5789445-11e3-4ad6-9297-b56521675114
471,2024-12-10,عهده موقع,30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
472,2022-10-31,اكراميه بمب صب سقف ارضي 30,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
472,2024-12-11,عهده موقع,45000.00,45000.00,d5789445-11e3-4ad6-9297-b56521675114
473,2024-12-13,عهده موقع,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
474,2022-10-31,وجبه مهندس في سهره صب سقف ارضي 26 وسقف ثاني 43,25.00,25.00,d5789445-11e3-4ad6-9297-b56521675114
474,2024-12-14,عهده موقع,40000.00,40000.00,d5789445-11e3-4ad6-9297-b56521675114
475,2023-02-13,عهده موقع,50000.00,50000.00,d5789445-11e3-4ad6-9297-b56521675114
476,2022-10-31,وجبه مهندس في سهره صب سقف ارضي 26 وسقف ثاني 44,25.00,25.00,d5789445-11e3-4ad6-9297-b56521675114
476,2024-10-17,تحويل لهيمكس ,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
477,2024-10-17,تحويل للحمد ستيل للحديد ( الريناد),850000.00,850000.00,d5789445-11e3-4ad6-9297-b56521675114
478,2022-10-31,من حساب الفرمجي محمد نصر ,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
478,2024-10-19,عهده موقع,122000.00,122000.00,d5789445-11e3-4ad6-9297-b56521675114
479,2024-10-21,عهده موقع,99500.00,99500.00,d5789445-11e3-4ad6-9297-b56521675114
480,2022-11-03,اكراميه معمل التربه عمل اختبار لعمارات 33.34.35.36.39.40.41.,14.00,14.00,d5789445-11e3-4ad6-9297-b56521675114
480,2024-10-24,تحويل للاستاذ محمد مرعي ,10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
481,2024-10-24,عهده موقع,720000.00,720000.00,d5789445-11e3-4ad6-9297-b56521675114
482,2022-11-03,اكراميه معمل التربه عمل اختبار لعمارات 33.34.35.36.39.40.41.,14.00,14.00,d5789445-11e3-4ad6-9297-b56521675114
482,2024-10-31,عهده موقع,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
483,2024-10-31,دفعه من ح توريد الاسمنت من مدام عزه ,170000.00,170000.00,d5789445-11e3-4ad6-9297-b56521675114
484,2022-11-03,اكراميه معمل التربه عمل اختبار لعمارات 33.34.35.36.39.40.41.,14.00,14.00,d5789445-11e3-4ad6-9297-b56521675114
484,2024-10-30,تحويل لهيمكس ,130000.00,130000.00,d5789445-11e3-4ad6-9297-b56521675114
485,2024-11-01,تحويل للحمد ستيل للحديد ( الريناد),1050000.00,1050000.00,d5789445-11e3-4ad6-9297-b56521675114
486,2022-11-03,اكراميه معمل التربه عمل اختبار لعمارات 33.34.35.36.39.40.41.,14.00,14.00,d5789445-11e3-4ad6-9297-b56521675114
486,2024-11-04,توريد حلوق من شركه ابو النجا  ( احمد مورد الحلوق ),212800.00,212800.00,d5789445-11e3-4ad6-9297-b56521675114
487,2024-11-07,عهده موقع,461000.00,461000.00,d5789445-11e3-4ad6-9297-b56521675114
488,2022-11-03,اكراميه معمل التربه عمل اختبار لعمارات 33.34.35.36.39.40.41.,14.00,14.00,d5789445-11e3-4ad6-9297-b56521675114
488,2024-11-12,تحويل لهيمكس ,70000.00,70000.00,d5789445-11e3-4ad6-9297-b56521675114
489,2024-11-15,عهده موقع,250000.00,250000.00,d5789445-11e3-4ad6-9297-b56521675114
490,2022-11-03,اكراميه معمل التربه عمل اختبار لعمارات 33.34.35.36.39.40.41.,15.00,0.00,d5789445-11e3-4ad6-9297-b56521675114
490,2024-11-21,تحويل للحمد ستيل للحديد ( الريناد),975000.00,975000.00,d5789445-11e3-4ad6-9297-b56521675114
491,2024-11-21,عهده موقع,915000.00,915000.00,d5789445-11e3-4ad6-9297-b56521675114
492,2022-11-03,اكراميه معمل التربه عمل اختبار لعمارات 33.34.35.36.39.40.41.,15.00,30.00,d5789445-11e3-4ad6-9297-b56521675114
492,2024-11-28,سيفتي لمهندسين الموقع ,5400.00,5400.00,d5789445-11e3-4ad6-9297-b56521675114
493,2024-12-01,كميه الخشب باستكمال سقف عماره 34  (10.1198),150000.00,150000.00,d5789445-11e3-4ad6-9297-b56521675114
494,2022-11-03,بنزين للمولد,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
494,2024-12-02,تحويل لاحمد حبيب لتخليص الاوراق ( مدام عفاف ),30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
495,2024-12-02,تحويل لهيمكس ,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
496,2022-11-03,سياره الموقع امير 1,3600.00,3600.00,d5789445-11e3-4ad6-9297-b56521675114
496,2024-12-05,عهده موقع,696000.00,696000.00,d5789445-11e3-4ad6-9297-b56521675114
497,2024-12-09,تحويل لهيمكس ,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
498,2022-11-03,اكراميه 2 سياره حديد بتاريخ 26/10,250.00,250.00,d5789445-11e3-4ad6-9297-b56521675114
498,2024-12-10,عهده موقع,220000.00,220000.00,d5789445-11e3-4ad6-9297-b56521675114
499,2024-12-15,تحويل لهيمكس ,51000.00,51000.00,d5789445-11e3-4ad6-9297-b56521675114
500,2022-11-03,بنزين للمولد بتاريخ 29/10,160.00,160.00,d5789445-11e3-4ad6-9297-b56521675114
500,2024-12-16,شراء خشب 9.86 متر مكعب,185000.00,185000.00,d5789445-11e3-4ad6-9297-b56521675114
501,2024-12-17,تحويل لهيمكس ,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
502,2022-11-03,قاروره ماء للكرافان بتاريخ 29/10),40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
502,2024-12-17,تحويل لشركه ليسيكو للسيراميك,450000.00,450000.00,d5789445-11e3-4ad6-9297-b56521675114
503,2024-12-18,تحويل لاحمد حبيب لتخليص الاوراق ( مدام عفاف ),50000.00,50000.00,d5789445-11e3-4ad6-9297-b56521675114
504,2022-11-03,سهره استشاري صب سقف اول 27 بتاريخ 1/11,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
504,2024-12-18,عهده موقع,499000.00,499000.00,d5789445-11e3-4ad6-9297-b56521675114
505,2024-12-22,تحويل لهيمكس ,95000.00,95000.00,d5789445-11e3-4ad6-9297-b56521675114
506,2022-11-03,سهره استشاري صب عمود ارضي 44 بتاريخ 26/10,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
506,2024-12-23,عهده موقع,166000.00,166000.00,d5789445-11e3-4ad6-9297-b56521675114
507,2024-12-23,تحويل لاحمد حبيب لتخليص الاوراق ( مدام عفاف ),10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
508,2022-11-03,اكراميه صب بمب صب اعمده اول 38,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
508,2024-12-24,تحويل لشركه ليسيكو للسيراميك,24000.00,24000.00,d5789445-11e3-4ad6-9297-b56521675114
509,2024-12-24,عهده موقع,18000.00,18000.00,d5789445-11e3-4ad6-9297-b56521675114
510,2022-11-03,يوميه عامل استعدال حديدمن الخرده ,250.00,250.00,d5789445-11e3-4ad6-9297-b56521675114
510,2024-12-25,بنزين للمهندس محمد ,1500.00,1500.00,d5789445-11e3-4ad6-9297-b56521675114
511,2024-12-26,عهده موقع,199000.00,199000.00,d5789445-11e3-4ad6-9297-b56521675114
512,2022-11-03,يوميه تركيب بسكوت كمر سقف ارضي 27 بتاريخ 31/10,180.00,180.00,d5789445-11e3-4ad6-9297-b56521675114
512,2024-12-27,عهده موقع,8000.00,8000.00,d5789445-11e3-4ad6-9297-b56521675114
513,2024-12-28,شراء خشب مستعمل ( 2.46*17000 قصاير + 3.187*26000 الواح + 400*170 عرق ),30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
514,2022-11-03,يوميه عامل تسويه رد قصيه 37 بتاريخ 1/11,170.00,170.00,d5789445-11e3-4ad6-9297-b56521675114
514,2024-12-28,توريد حلوق من شركه ابو النجا  ( احمد مورد الحلوق ),497000.00,497000.00,d5789445-11e3-4ad6-9297-b56521675114
515,2024-12-28,شراء خشب مستعمل ( 2.46*17000 قصاير + 3.187*26000 الواح + 400*170 عرق ),157000.00,157000.00,d5789445-11e3-4ad6-9297-b56521675114
516,2022-11-03,يوميه عامل تسويه رد قصيه 43 بتاريخ 1/11,170.00,170.00,d5789445-11e3-4ad6-9297-b56521675114
516,2024-12-29,عهده موقع,95000.00,95000.00,d5789445-11e3-4ad6-9297-b56521675114
517,2024-12-30,وارد بيع الكرفان ,15000.00,15000.00,d5789445-11e3-4ad6-9297-b56521675114
518,2022-11-03,سهره استشاري استلام نجاره وحدادة سقف اول 27 بتاريخ 27/10,250.00,250.00,d5789445-11e3-4ad6-9297-b56521675114
518,2024-12-30,تحويل لهيمكس ,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
519,2024-12-30,تحويل لهيمكس ,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
520,2022-11-03,قاروره ماء بتاريخ 1/11,55.00,55.00,d5789445-11e3-4ad6-9297-b56521675114
520,2024-12-30,دفعه من ح محمد خلف مقاول القراميد ,74000.00,74000.00,d5789445-11e3-4ad6-9297-b56521675114
521,2025-01-02,عهده موقع,649000.00,649000.00,d5789445-11e3-4ad6-9297-b56521675114
522,2022-11-03,شراء 1ك مسمار للكهربائي ,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
522,2025-01-03,قصاير(1.65طن) + لتزانه(3.08 بالمتر ) ,60000.00,60000.00,d5789445-11e3-4ad6-9297-b56521675114
523,2025-01-04,شراء 500 عرق خشب  + نولون نقل,148000.00,148000.00,d5789445-11e3-4ad6-9297-b56521675114
524,2022-11-03,سلك رباط للكهربائي ,500.00,500.00,d5789445-11e3-4ad6-9297-b56521675114
524,2025-01-05,شراء خشب جديد (17.58) متر مكعب,303000.00,303000.00,d5789445-11e3-4ad6-9297-b56521675114
525,2025-01-06,عهده موقع,164000.00,164000.00,d5789445-11e3-4ad6-9297-b56521675114
526,2022-11-03,( الغفر)1يوميه عامل لم حديد ,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
526,2025-01-08,عهده موقع,5000.00,5000.00,d5789445-11e3-4ad6-9297-b56521675114
527,2025-01-09,تحويل للحمد ستيل للحديد ( الريناد),1300000.00,1300000.00,d5789445-11e3-4ad6-9297-b56521675114
528,2022-11-03,يوميه تخطيط مكان عمارات 33.34.35.36.39.40.41.+ الجير ,21.00,21.00,d5789445-11e3-4ad6-9297-b56521675114
528,2025-01-09,عهده موقع,375000.00,375000.00,d5789445-11e3-4ad6-9297-b56521675114
529,2025-01-10,تحويل للحمد ستيل للحديد ( الريناد),500000.00,500000.00,d5789445-11e3-4ad6-9297-b56521675114
530,2022-11-03,يوميه تخطيط مكان عمارات 33.34.35.36.39.40.41.+ الجير ,21.00,21.00,d5789445-11e3-4ad6-9297-b56521675114
530,2025-01-15,عهده موقع,65000.00,65000.00,d5789445-11e3-4ad6-9297-b56521675114
531,2025-01-15,عهده موقع,105000.00,105000.00,d5789445-11e3-4ad6-9297-b56521675114
532,2022-11-03,يوميه تخطيط مكان عمارات 33.34.35.36.39.40.41.+ الجير ,21.00,21.00,d5789445-11e3-4ad6-9297-b56521675114
532,2025-01-16,عهده موقع,750000.00,750000.00,d5789445-11e3-4ad6-9297-b56521675114
533,2025-01-18,تحويل لهيمكس ,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
534,2022-11-03,يوميه تخطيط مكان عمارات 33.34.35.36.39.40.41.+ الجير ,21.00,21.00,d5789445-11e3-4ad6-9297-b56521675114
534,2025-01-25,عهده موقع,60000.00,60000.00,d5789445-11e3-4ad6-9297-b56521675114
535,2025-01-29,عهده موقع,128000.00,128000.00,d5789445-11e3-4ad6-9297-b56521675114
536,2022-11-03,يوميه تخطيط مكان عمارات 33.34.35.36.39.40.41.+ الجير ,22.00,22.00,d5789445-11e3-4ad6-9297-b56521675114
536,2025-01-30,عهده موقع,205000.00,205000.00,d5789445-11e3-4ad6-9297-b56521675114
537,2025-02-03,عهده موقع,35000.00,35000.00,d5789445-11e3-4ad6-9297-b56521675114
538,2022-11-03,يوميه تخطيط مكان عمارات 33.34.35.36.39.40.41.+ الجير ,22.00,22.00,d5789445-11e3-4ad6-9297-b56521675114
538,2025-02-06,تحويل لهيمكس ,120000.00,120000.00,d5789445-11e3-4ad6-9297-b56521675114
539,2025-02-06,عهده موقع,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
540,2022-11-03,يوميه تخطيط مكان عمارات 33.34.35.36.39.40.41.+ الجير ,22.00,22.00,d5789445-11e3-4ad6-9297-b56521675114
540,2025-02-07,تحويل للحمد ستيل للحديد ( الريناد),100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
541,2025-02-08,عهده موقع,1000.00,1000.00,d5789445-11e3-4ad6-9297-b56521675114
542,2022-11-03,دفعه من مستخلص نجاره  علي خليل,30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
542,2025-02-12,عهده موقع,21000.00,21000.00,d5789445-11e3-4ad6-9297-b56521675114
543,2025-02-13,عهده موقع,110000.00,110000.00,d5789445-11e3-4ad6-9297-b56521675114
544,2022-11-03,دفعه من مستخلص نجاره ( محمد جمال),15000.00,15000.00,d5789445-11e3-4ad6-9297-b56521675114
544,2025-02-17,عهده موقع,150000.00,150000.00,d5789445-11e3-4ad6-9297-b56521675114
545,2025-02-19,دفعه من مستخلص مقاول المباني رامي,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
546,2022-11-03,دفعه من مستخلص نجاره ( محمد محمد شحاته ) ابو عمرو,5000.00,5000.00,d5789445-11e3-4ad6-9297-b56521675114
546,2025-02-19,تحويل للحمد ستيل للحديد ( الريناد),800000.00,800000.00,d5789445-11e3-4ad6-9297-b56521675114
547,2025-02-19,تحويل لهيمكس ,500000.00,500000.00,d5789445-11e3-4ad6-9297-b56521675114
548,2022-11-03,دفعه من مستخلص نجاره (صبري عبد المعطي),12000.00,12000.00,d5789445-11e3-4ad6-9297-b56521675114
548,2025-02-20,عهده موقع,1150000.00,1150000.00,d5789445-11e3-4ad6-9297-b56521675114
549,2025-02-20,تحويل لشركه ليسيكو للسيراميك,1000000.00,1000000.00,d5789445-11e3-4ad6-9297-b56521675114
550,2022-11-03,دفعه من مستخلص نجاره ( منتصر ),12000.00,12000.00,d5789445-11e3-4ad6-9297-b56521675114
550,2025-02-20,تحويل للحمد ستيل للحديد ( الريناد),2050000.00,2050000.00,d5789445-11e3-4ad6-9297-b56521675114
551,2025-02-22,مصاريف اداريه ,11000.00,11000.00,d5789445-11e3-4ad6-9297-b56521675114
552,2022-11-03,دفعه من مستخلص نجاره محمد صبري,5000.00,5000.00,d5789445-11e3-4ad6-9297-b56521675114
552,2025-02-23,دفعه لباسم حنا ( شيك ),28500.00,28500.00,d5789445-11e3-4ad6-9297-b56521675114
553,2025-02-24,تحويل لاحمد حبيب لتخليص الاوراق ( مدام عفاف ),10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
554,2022-11-03,دفعه من مستخلص الحداده محمد رمضان,15000.00,15000.00,d5789445-11e3-4ad6-9297-b56521675114
554,2025-02-24,عهده موقع,550000.00,550000.00,d5789445-11e3-4ad6-9297-b56521675114
555,2025-02-24,تحويل للحمد ستيل للحديد ( الريناد),895777.00,895777.00,d5789445-11e3-4ad6-9297-b56521675114
556,2022-11-03,دفعه من مستخلص الحداده محمود خيري,10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
556,2025-02-25,عهده موقع,30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
557,2025-02-27,تحويل لهيمكس ,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
558,2022-11-03,دفعه من حساب الفرمجي محمد نصر,4000.00,4000.00,d5789445-11e3-4ad6-9297-b56521675114
558,2025-02-27,عهده موقع,1025000.00,1025000.00,d5789445-11e3-4ad6-9297-b56521675114
559,2025-03-01,مصاريف اداريه ,5000.00,5000.00,d5789445-11e3-4ad6-9297-b56521675114
560,2022-11-03,باقي حساب محمود العامل,350.00,350.00,d5789445-11e3-4ad6-9297-b56521675114
560,2025-03-04,عهده موقع,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
561,2025-03-06,عهده موقع,298000.00,298000.00,d5789445-11e3-4ad6-9297-b56521675114
562,2022-11-03,دفعه من مستخلص الكهرباء هشام,5000.00,5000.00,d5789445-11e3-4ad6-9297-b56521675114
562,2025-03-07,تحويل للحمد ستيل للحديد ( الريناد),200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
563,2025-03-10,تحويل لهيمكس ,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
564,2022-11-03,دفعه من مستخلص  البناء  رامي,40000.00,40000.00,d5789445-11e3-4ad6-9297-b56521675114
564,2025-03-11,دفعه من ج نادي سكر مقاول كريتال ,97000.00,97000.00,d5789445-11e3-4ad6-9297-b56521675114
565,2025-03-13,مصاريف اداريه ,1500.00,1500.00,d5789445-11e3-4ad6-9297-b56521675114
566,2022-11-03,دفعه من مستخلص العزل  علي ,3000.00,3000.00,d5789445-11e3-4ad6-9297-b56521675114
566,2025-03-13,دفعه من مستخلص مقاول المباني رامي,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
567,2025-03-13,عهده موقع,415000.00,415000.00,d5789445-11e3-4ad6-9297-b56521675114
568,2022-11-03,سلف من راتب المهند س احمد توفيق ,8000.00,8000.00,d5789445-11e3-4ad6-9297-b56521675114
568,2025-03-15,تحويل لهيمكس ,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
569,2025-03-20,تحويل لهيمكس ,175000.00,175000.00,d5789445-11e3-4ad6-9297-b56521675114
570,2022-11-03,سكر + بن + شاي,146.00,146.00,d5789445-11e3-4ad6-9297-b56521675114
570,2025-03-21,عهده موقع,78000.00,78000.00,d5789445-11e3-4ad6-9297-b56521675114
571,2025-03-23,تحويل لهيمكس ,150000.00,150000.00,d5789445-11e3-4ad6-9297-b56521675114
572,2022-11-03,يوميه عامل تعديل ملاحظات الكهرباء وتخصم علي مقاول الكهرباء هشام,150.00,150.00,d5789445-11e3-4ad6-9297-b56521675114
572,2025-03-23,عهده موقع,95000.00,95000.00,d5789445-11e3-4ad6-9297-b56521675114
573,2025-03-27,عهده موقع,899000.00,899000.00,d5789445-11e3-4ad6-9297-b56521675114
574,2022-11-03,من حساب سياره الموقع امير 2,300.00,300.00,d5789445-11e3-4ad6-9297-b56521675114
574,2025-03-27,مصاريف اداريه ,9000.00,9000.00,d5789445-11e3-4ad6-9297-b56521675114
575,2025-03-13,مصاريف اداريه ,1400.00,1400.00,d5789445-11e3-4ad6-9297-b56521675114
576,2022-11-03,سلف من راتب المهند س محمود ,2000.00,2000.00,d5789445-11e3-4ad6-9297-b56521675114
576,2025-02-20,مصاريف اداريه ,20000.00,20000.00,d5789445-11e3-4ad6-9297-b56521675114
577,2025-03-06,بنزين م ( محمد مشرف ),765.00,765.00,d5789445-11e3-4ad6-9297-b56521675114
578,2022-11-03,اجر عامل تركيب بسكوت اعمده ثالث 43+ مرمات اعمده ارضي 43,150.00,150.00,d5789445-11e3-4ad6-9297-b56521675114
578,2025-04-09,دفعه من مستخلص مقاول المباني رامي,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
579,2025-04-09,عهده موقع,1140000.00,1140000.00,d5789445-11e3-4ad6-9297-b56521675114
580,2022-11-03,سهره استشاري تسليم سقف اول 37 حداده ,250.00,250.00,d5789445-11e3-4ad6-9297-b56521675114
580,2025-04-11,دفعه من ح احمد عاطف مورد الاسمنت,220000.00,220000.00,d5789445-11e3-4ad6-9297-b56521675114
581,2025-04-11,عهده موقع,20000.00,20000.00,d5789445-11e3-4ad6-9297-b56521675114
582,2022-11-03,سهره استشاري تسليم نجاره اعمده 38 بتاريخ 26/9,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
582,2025-04-13,عهده موقع,430000.00,430000.00,d5789445-11e3-4ad6-9297-b56521675114
583,2025-04-14,تحويل لاحمد حبيب لتخليص الاوراق ( مدام عفاف ),10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
584,2022-11-03,من حساب شركه عز لتوريدات الكهرباء,20000.00,20000.00,d5789445-11e3-4ad6-9297-b56521675114
584,2025-04-15,مصاريف اداريه ,1410.00,1410.00,d5789445-11e3-4ad6-9297-b56521675114
585,2025-04-15,تحويل لشركه ليسيكو للسيراميك,750000.00,750000.00,d5789445-11e3-4ad6-9297-b56521675114
586,2022-11-05,19 لترماء للكرافان ,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
586,2025-04-15,عهده موقع,25000.00,25000.00,d5789445-11e3-4ad6-9297-b56521675114
587,2025-04-15,عهده موقع,35000.00,35000.00,d5789445-11e3-4ad6-9297-b56521675114
588,2022-11-05,بنزين وزيت للمولد,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
588,2025-04-16,دفعه من ح ابومؤمن مقاول الكريتال,65000.00,65000.00,d5789445-11e3-4ad6-9297-b56521675114
589,2025-04-16,تحويل لهيمكس ,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
